variable_id,concept_id,raw_concept,exposure,outcome,covariate,data_type,start_look_back,end_look_back,date_extraction_func,Matching,variable_description
SV_TERATOGEN,DP_TERATOGEN,concept codelist,FALSE,FALSE,TRUE,BOOL,NA,NA,EARLIEST_DURING_PREG_AND_IN_ANCHOREDPREG_30EXTENDED,FALSE,Teratogenic drug:Any DP_TERATOGENIC records during any pregnancy (from 30 days before to end) during the study period
SV_MUTIPLEPREG,L_PREGNMULTIPLE_COV,concept codelist,FALSE,FALSE,TRUE,BOOL,NA,NA,EARLIEST_DURING_PREG_AND_IN_ANCHOREDPREG,FALSE,Multiple pregnancies: Any MULTIPLE records during any pregnancy during the study period
SV_CESAREAN,PP_CESAREAN,concept codelist,FALSE,FALSE,TRUE,BOOL,NA,NA,EARLIEST_DURING_PREG_AND_IN_ANCHOREDPREG,FALSE,Any CAESAREAN records during any pregnancy during the study period
SV_GESTDIAB,P_GESTDIAB_AESI,concept codelist,FALSE,TRUE,FALSE,BOOL,NA,NA,NA,FALSE,Any Record of GESTDIAB during included pregnancies in the study period from the latest of the dates between the T0 and 20 weeks of gestation (start_pregnancy_date+ 20*7) until the end of the pregnancy?
SV_PREECLAMP,P_PREECLAMP_AESI,concept codelist,FALSE,TRUE,FALSE,BOOL,NA,NA,NA,FALSE,Any Record of PREECLAMP during included pregnancies in the study period  from the latest of the dates between the T0 and 20 weeks of gestation (start_pregnancy_date + 20*7) until the end of the pregnancy +L162
SV_MATERNAL_DEATH,PP_MATERNAL_DEATH,pre-processed,FALSE,TRUE,FALSE,BOOL,NA,NA,NA,FALSE,Record of MATERNAL DEATH during pregnancy and within 42 days after delivery in included pregnancies
SV_SA,P_SPONTABO_AESI,concept codelist,FALSE,TRUE,FALSE,BOOL,NA,NA,NA,FALSE,Any Record of SA during included pregnancies in the study period  from the T0 until 20 weeks after start of pregnancy
SV_SB,P_STILLBIRTH_AESI,concept codelist,FALSE,TRUE,FALSE,BOOL,NA,NA,NA,FALSE,Any Record of STILLBIRTH during included pregnancies in the study period  from the latest of the dates between the T0 and 21weeks of gestation (start_pregnancy_date + 21*7) until the end of the pregnancy
SV_PRETERM_BIRTH,P_PRETERMBIRTH_AESI,pre-processed,FALSE,TRUE,FALSE,BOOL,NA,NA,NA,FALSE,Any Record of PRETERMBIRTH_ during included pregnancies in the study period  from the latest of the dates between the T0 and 21weeks of gestation (start_pregnancy_date + 21*7) until 37 weeks of gestation
SV_MCA,PP_MCA,pre-processed,FALSE,TRUE,FALSE,BOOL,NA,NA,NA,FALSE,Record of MCA in infants from included pregnancies
SV_FGR,P_FGR_AESI,concept codelist,FALSE,TRUE,FALSE,BOOL,NA,NA,NA,FALSE,Any record of FGR during included pregnancies. Within all pregnancies  if the pregnnacy is exposed then search from the latest date between the start and the t0
SV_MICROCEPHALY,PP_MICROCEPHALY,concept codelist,FALSE,TRUE,FALSE,BOOL,NA,NA,NA,FALSE,Any Record of MICROCEPHALY during included pregnancies in the study period  from the latest of the dates between the T0 and 24 weeks of gestation (start_pregnancy_date + 24*7) until the end of the pregnancy  + 6 weeks
SV_NEONATAL_DEATH,PP_NEONATAL_DEATH,pre-processed,FALSE,TRUE,FALSE,BOOL,NA,NA,NA,FALSE,Neonatal death: Within 28 days after a live birth
SV_TOPFA,PP_TOPFA,concept codelist,FALSE,TRUE,FALSE,BOOL,NA,NA,NA,FALSE,TOPFA: Within all pregnancies  if the pregnnacy is exposed then search from the latest date between the start and the t0
SV_SGA,PP_SGA,concept codelist,FALSE,TRUE,FALSE,BOOL,NA,NA,NA,FALSE,Small for gestation age: In infants and mother from included pregnancies after T0  LB==1
